code,name,industry,area,pe,outstanding,totals,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb,timeToMarket,undp,perundp,rev,profit,gpr,npr,holders
002281,光迅科技,通信设备,湖北,70.45,6.29,6.77,604040.44,456905.56,103555.9,132984.86,1.96,0.1,5.34,4.98,20090821,150968.63,2.23,0.99,-17.8,17.81,5.24,52407.0
002151,北斗星通,通信设备,北京,0.0,3.0,4.91,613846.38,308674.16,63492.17,319646.34,6.52,-0.034,8.21,2.86,20070813,34627.68,0.71,-5.29,-513.74,28.72,-2.82,76093.0
600522,中天科技,通信设备,江苏,13.77,30.66,30.66,3581144.75,2360332.0,793967.44,761578.88,2.48,0.168,6.59,1.4,20021024,785034.69,2.56,63.4,14.99,10.96,4.76,167368.0
000836,富通鑫茂,通信设备,天津,84.19,12.08,12.08,284740.5,145022.8,53713.8,12528.15,0.1,0.013000000000000001,1.11,4.02,19970929,-283.98,0.0,-30.46,-23.94,20.73,4.62,76300.0
300627,华测导航,通信设备,上海,65.31,1.03,2.46,134975.25,115006.15,3601.71,38637.59,1.57,0.07400000000000001,3.72,5.21,20170321,32155.63,1.31,21.26,56.06,51.66,9.73,18020.0
002491,通鼎互联,通信设备,江苏,108.68,11.77,12.62,1018844.81,543971.94,179506.61,134207.31,1.06,0.018000000000000002,4.08,1.96,20101021,235071.55,1.86,-22.19,-84.86,24.47,2.74,83100.0
600498,烽火通信,通信设备,湖北,49.41,11.07,11.69,3077314.0,2471668.25,264276.44,546169.69,4.67,0.14300000000000002,8.71,3.24,20010823,382394.53,3.27,14.9,19.71,24.68,3.42,82168.0
002446,盛路通信,通信设备,广东,32.31,5.96,8.83,529649.5,295242.34,28255.26,195362.44,2.21,0.076,4.0,2.46,20100713,62811.28,0.71,8.65,11.93,31.57,16.65,68849.0
002296,辉煌科技,通信设备,河南,115.59,3.24,3.77,187344.88,130790.1,13524.2,66625.86,1.77,0.013999999999999999,3.81,1.7,20090929,32230.96,0.86,12.21,71.25,45.63,6.19,43562.0
603042,华脉科技,通信设备,江苏,0.0,1.01,1.36,219227.34,134740.27,29883.28,50820.3,3.74,-0.065,5.7,2.81,20170602,11189.08,0.82,-34.08,-206.47,23.56,-4.21,15904.0
300177,中海达,通信设备,广东,65.7,4.94,6.69,296052.03,182524.69,21149.27,89481.56,1.34,0.033,2.76,3.18,20110215,48027.39,0.72,12.42,4.92,50.77,8.27,46701.0
300310,宜通世纪,通信设备,广东,93.9,6.81,8.83,249756.95,189167.61,20892.78,207685.61,2.35,0.02,1.81,4.07,20120425,-139749.45,-1.58,-10.93,-65.95,13.64,2.89,52868.0
