code,name,industry,area,pe,outstanding,totals,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb,timeToMarket,undp,perundp,rev,profit,gpr,npr,holders
300565,科信技术,通信设备,深圳,0.0,0.72,2.08,94984.15,61245.88,27168.55,25612.7,1.23,-0.08900000000000001,3.52,4.24,20161122,23277.11,1.12,-63.56,-327.89,28.82,-39.94,19995.0
600775,南京熊猫,通信设备,江苏,221.14,6.72,9.14,633429.88,475599.25,86174.13,147069.19,1.61,0.015,3.81,3.42,19961118,83851.65,0.92,4.03,-49.19,13.57,1.25,63000.0
600485,*ST信威,通信设备,北京,0.0,18.13,29.24,1884515.25,1513610.38,51063.3,306818.94,1.05,-0.07,2.37,6.16,20030807,131636.13,0.45,-11.53,58.3,12.32,-417.61,155355.0
600345,长江通信,通信设备,湖北,34.58,1.98,1.98,206083.3,39980.55,3964.53,62163.55,3.14,0.2,9.8,2.83,20001222,71882.88,3.63,15.5,-37.26,7.55,100.8,30900.0
300134,大富科技,通信设备,深圳,130.02,7.12,7.67,674372.19,427783.09,126909.5,484778.06,6.32,0.028999999999999998,7.0,2.16,20101026,-34815.92,-0.45,30.18,-29.75,19.64,3.78,47712.0
002089,*ST新海,通信设备,江苏,0.0,9.36,13.75,501956.06,270041.03,67765.49,5457.81,0.04,-0.031,0.92,2.16,20061130,-23854.17,-0.17,-23.84,-333.13,25.64,-61.79,86240.0
002017,东信和平,通信设备,广东,174.48,4.46,4.46,205493.67,167870.11,20567.97,51100.73,1.14,0.018000000000000002,3.09,4.17,20040713,34126.87,0.76,4.24,3.23,26.9,3.25,88664.0
002869,金溢科技,通信设备,深圳,98.72,0.45,1.18,137369.13,104332.88,20091.34,63015.38,5.35,0.08,8.64,3.64,20170515,22535.1,1.91,-3.41,35.85,41.23,6.46,13935.0
603559,中通国脉,通信设备,吉林,0.0,0.84,1.43,159945.36,113072.9,7945.75,45252.35,3.16,-0.038,6.01,3.55,20161202,20918.89,1.46,-1.18,-1064.65,16.03,-7.22,31685.0
300555,路通视信,通信设备,江苏,366.75,0.87,2.0,83059.6,67964.99,9154.5,16954.46,0.85,0.008,3.17,3.49,20161018,23263.99,1.16,-19.34,-71.82,23.41,2.67,17600.0
603703,盛洋科技,通信设备,浙江,492.15,1.09,2.3,126727.35,58932.98,35606.73,8562.71,0.37,0.006,1.9,6.2,20150423,9366.03,0.41,-0.19,126.99,24.63,0.8,15650.0
300299,富春股份,通信设备,福建,107.2,6.18,7.26,222227.05,84866.21,2307.58,43396.35,0.6,0.017,1.74,4.16,20120319,8203.46,0.11,-18.35,-36.4,58.01,10.72,41018.0
300312,邦讯技术,通信设备,北京,0.0,1.91,3.2,70284.25,52287.09,878.2,33406.01,1.04,-0.049,0.58,12.65,20120508,-49192.93,-1.54,-83.59,-1101.81,19.08,-137.17,34056.0
300504,天邑股份,通信设备,四川,36.03,0.99,2.67,258722.75,235152.41,16381.8,75965.82,2.84,0.187,6.75,4.0,20180330,70109.9,2.62,6.97,-4.26,17.92,7.07,33525.0
002848,高斯贝尔,通信设备,湖南,0.0,0.88,1.67,110866.42,72448.63,15281.74,13402.07,0.8,-0.16699999999999998,3.46,3.77,20170213,24618.35,1.47,-26.44,-12.73,5.25,-22.93,32439.0
300710,万隆光电,通信设备,浙江,80.97,0.34,0.69,77321.21,62349.9,3009.09,33016.78,4.81,0.09,8.5,3.43,20171019,16148.42,2.35,54.03,403.36,28.63,6.03,13100.0
300698,万马科技,通信设备,浙江,0.0,0.45,1.34,60386.76,48929.3,6582.74,16060.01,1.2,-0.009000000000000001,2.83,6.99,20170831,7443.56,0.56,69.94,30.17,23.02,-1.1,16519.0
300563,神宇股份,通信设备,江苏,47.86,0.32,0.8,61986.19,32475.9,23029.53,15894.55,1.99,0.16,6.21,4.94,20161114,23064.07,2.88,-4.28,-8.54,31.29,15.79,12204.0
002194,*ST凡谷,通信设备,湖北,75.38,4.11,5.65,212345.52,168349.0,31173.75,82533.31,1.46,0.051,2.94,5.27,20071207,10588.73,0.19,58.36,169.28,21.7,7.6,37741.0
300711,广哈通信,通信设备,广东,0.0,0.45,1.44,63073.75,55102.19,5906.46,25584.46,1.77,-0.023,3.86,5.51,20171101,13190.92,0.91,60.93,44.4,46.83,-12.9,16626.0
000586,汇源通信,通信设备,四川,0.0,1.93,1.93,57385.55,48367.73,4395.25,6471.58,0.33,-0.008,1.21,11.77,19951220,-4138.49,-0.21,2.52,64.4,26.36,-2.14,24800.0
002359,*ST北讯,通信设备,深圳,0.0,7.09,10.87,1843545.25,539740.06,256703.91,475903.34,4.38,-0.09,4.49,0.62,20100210,-99171.81,-0.91,-67.76,-193.97,7.36,-35.61,31522.0
300028,金亚科技,通信设备,四川,0.0,3.44,3.44,21287.9,3737.84,10719.53,36319.64,1.06,-0.025,0.41,0.0,20091030,-56557.3,-1.64,-94.06,-113.72,-177.78,-1544.45,44900.0
