,name,cf_sales,rateofreturn,cf_nm,cf_liabilities,cashflowratio
258,寿仙谷,0.3353,0.1439,1.5932,0.8294,87.6089
259,药石科技,0.3349,0.2104,1.1908,0.9921,104.7499
260,中国神华,0.3341,0.1503,1.633,0.4828,71.5248
261,豪能股份,0.3336,0.1271,1.7861,0.3976,50.0839
262,宁波海运,0.3331,0.114,2.2855,0.2861,80.0599
263,永吉股份,0.3325,0.1427,1.2873,2.0597,216.0777
264,三峡水利,0.3321,0.0838,2.1364,0.1828,43.295
265,秦安股份,0.3315,0.0898,,1.4123,141.5693
266,汇顶科技,0.3311,0.2305,1.6594,0.9954,101.9917
267,九强生物,0.3309,0.1374,0.8519,1.5761,168.4721
268,泸州老窖,0.3292,0.1901,1.2243,0.7842,79.3635
269,盛达矿业,0.3289,0.213,1.4169,0.5061,72.0253
270,博创科技,0.3283,0.1258,38.7445,0.8148,91.176
271,青松建化,0.3278,0.0949,,0.185,24.6999
272,中新赛克,0.3272,0.106,1.1044,0.2691,27.4166
273,中国联通,0.326,0.175,10.196,0.4218,44.3557
274,通化东宝,0.3256,0.1605,1.0453,1.2028,126.8344
275,大连圣亚,0.3251,0.0629,2.1279,0.1124,14.2859
276,长城影视,0.3251,0.16,,0.1942,22.5639
277,吉电股份,0.324,0.0595,9.3934,0.0804,16.9385
278,欧普康视,0.324,0.121,0.708,1.0223,107.415
279,西藏珠峰,0.3218,0.1375,0.7311,0.2515,32.5353
280,广汇能源,0.3209,0.0857,2.5457,0.1333,23.6728
281,巨轮智能,0.3205,0.0632,3.1894,0.1248,13.683
282,风华高科,0.3191,0.2075,1.4208,0.9647,109.5798
283,顺网科技,0.3191,0.163,1.4703,0.8045,82.1569
284,鹏博士,0.3183,0.0954,5.7955,0.1372,21.3096
285,万华化学,0.3177,0.2504,1.501,0.5113,58.3922
286,快克股份,0.3171,0.1319,0.8729,0.8124,88.6648
287,福建水泥,0.3166,0.2331,2.2689,0.3559,37.6761
288,迪普科技,0.316,0.1642,1.1067,0.6912,71.8111
289,浙江美大,0.3154,0.2482,1.1705,1.0635,107.3001
290,张家界,0.315,0.0591,5.9047,0.1622,49.183
291,中潜股份,0.3142,0.1197,5.5494,0.2493,28.2104
292,*ST康达,0.3138,0.2081,2.3994,0.2726,28.5158
293,顶点软件,0.3135,0.0749,0.7913,0.4666,46.6645
294,大同煤业,0.3134,0.1391,2.9978,0.228,32.5593
295,天富能源,0.3124,0.0722,41.5174,0.1043,26.223000000000003
296,永安药业,0.3123,0.1628,1.7553,0.9719,114.2919
297,西部创业,0.3107,0.0409,1.6043,0.2799,29.3956
298,荣盛发展,0.3107,0.0769,2.1157,0.0915,11.3525
299,汤臣倍健,0.3101,0.1378,1.485,0.4648,90.4687
300,渤海轮渡,0.3098,0.1038,1.2182,0.373,89.5487
301,扬帆新材,0.3097,0.2035,1.1849,1.6462,170.5977
302,宣亚国际,0.3095,0.2283,5.3052,1.4043,140.4314
303,涪陵电力,0.3092,0.16,2.1705,0.2318,27.4398
304,兆新股份,0.3088,0.0601,,0.163,22.6012
305,金达威,0.3087,0.1933,1.2925,0.5662,117.2769
306,农尚环境,0.3085,0.1168,2.7177,0.22,21.9997
307,五粮液,0.3077,0.1431,0.8774,0.5872,59.4817
308,天孚通信,0.306,0.1134,0.9959,1.101,130.7837
309,亿嘉和,0.3045,0.1357,0.8358,1.0341,119.3698
310,光韵达,0.3044,0.153,2.5987,0.46,51.1802
311,明德生物,0.3043,0.087,0.8592,2.186,247.7002
312,金岭矿业,0.3042,0.1166,3.1687,1.0270000000000001,119.6102
313,通策医疗,0.3036,0.2201,1.3068,0.6854,173.7793
314,中兵红箭,0.3026,0.1438,4.3111,0.5853,70.8572
315,协鑫集成,0.302,0.1795,59.825,0.2325,25.2924
316,浙江东日,0.3015,0.1189,1.2002,0.3929,61.2553
317,今世缘,0.3001,0.1305,0.9742,0.4523,45.5395
318,创业环保,0.3,0.0468,1.3938,0.0809,27.5018
319,丰元股份,0.2997,0.1014,4.8659,0.3924,39.4555
320,爱建集团,0.2995,0.0109,0.2453,0.0173,3.3136
321,*ST北讯,0.2988,0.0506,,0.0736,13.3242
322,科斯伍德,0.2988,0.1766,3.2064,0.3941,68.41199999999999
