code,name,industry,area,pe,outstanding,totals,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb,timeToMarket,undp,perundp,rev,profit,gpr,npr,holders
300698,万马科技,通信设备,浙江,0.0,0.45,1.34,60386.76,48929.3,6582.74,16060.01,1.2,-0.009000000000000001,2.83,6.54,20170831,7443.56,0.56,69.94,30.17,23.02,-1.1,16519.0
603559,中通国脉,通信设备,吉林,0.0,0.84,1.43,159945.36,113072.9,7945.75,45252.35,3.16,-0.038,6.01,3.23,20161202,20918.89,1.46,-1.18,-1064.65,16.03,-7.22,31685.0
600130,波导股份,通信设备,浙江,0.0,7.68,7.68,102381.5,69677.96,7186.74,45592.21,0.59,-0.005,1.14,3.59,20000706,-42300.8,-0.55,-16.64,-151.26,8.75,-2.58,86654.0
002052,同洲电子,通信设备,深圳,80.18,7.46,7.46,160751.77,122495.32,22167.89,87718.61,1.18,0.013999999999999999,0.82,5.6,20060627,-110397.55,-1.48,62.28,140.04,24.54,3.53,85199.0
300590,移为通信,通信设备,上海,52.32,0.97,1.61,106060.67,74024.78,9686.74,45586.53,2.82,0.16699999999999998,5.53,6.32,20170111,25138.06,1.56,79.74,371.28,42.41,20.13,13196.0
002296,辉煌科技,通信设备,河南,119.71,3.24,3.77,187344.88,130790.1,13524.2,66625.86,1.77,0.013999999999999999,3.81,1.76,20090929,32230.96,0.86,12.21,71.25,45.63,6.19,43562.0
002491,通鼎互联,通信设备,江苏,109.09,11.77,12.62,1018844.81,543971.94,179506.61,134207.31,1.06,0.018000000000000002,4.08,1.97,20101021,235071.55,1.86,-22.19,-84.86,24.47,2.74,83100.0
002384,东山精密,通信设备,江苏,27.62,11.62,16.07,2893161.25,1407635.38,962927.31,533217.63,3.32,0.124,5.4,2.54,20100409,176349.69,1.1,26.44,31.39,15.33,4.43,41632.0
002396,星网锐捷,通信设备,福建,0.0,5.49,5.83,609979.19,450883.0,56491.51,68566.65,1.18,-0.011000000000000001,6.29,3.42,20100623,219217.66,3.76,-1.78,7.71,28.64,-0.48,39236.0
000063,中兴通讯,通信设备,深圳,35.6,34.34,41.93,13987571.0,10188720.0,909558.88,1152120.25,2.75,0.20600000000000002,5.66,5.18,19971118,784586.5,1.87,-19.34,115.95,39.97,3.89,361194.0
600485,*ST信威,通信设备,北京,0.0,18.13,29.24,1884515.25,1513610.38,51063.3,306818.94,1.05,-0.07,2.37,6.16,20030807,131636.13,0.45,-11.53,58.3,12.32,-417.61,155355.0
300565,科信技术,通信设备,深圳,0.0,0.72,2.08,94984.15,61245.88,27168.55,25612.7,1.23,-0.08900000000000001,3.52,3.89,20161122,23277.11,1.12,-63.56,-327.89,28.82,-39.94,19995.0
300299,富春股份,通信设备,福建,94.45,6.18,7.26,222227.05,84866.21,2307.58,43396.35,0.6,0.017,1.74,3.66,20120319,8203.46,0.11,-18.35,-36.4,58.01,10.72,41018.0
300211,亿通科技,通信设备,江苏,378.38,1.86,3.03,53635.68,34480.8,13180.84,3736.85,0.12,0.004,1.63,3.78,20110505,13089.05,0.43,-36.74,-33.6,22.81,4.85,17471.0
600260,凯乐科技,通信设备,湖北,8.84,6.76,7.15,1894079.63,1607777.75,89648.46,219524.0,3.07,0.504,8.25,2.16,20000706,262857.63,3.68,5.39,18.75,15.72,9.2,39380.0
300394,天孚通信,通信设备,江苏,38.88,1.64,1.99,123576.32,86203.8,24889.96,40573.51,2.04,0.17,5.56,4.76,20150217,44839.3,2.25,12.99,23.53,55.08,30.27,13108.0
300514,友讯达,通信设备,深圳,0.0,0.9,2.0,86600.17,77437.11,2326.06,11389.96,0.57,-0.035,2.61,5.02,20170426,18259.84,0.91,1.05,-185.86,27.63,-6.68,19700.0
600487,亨通光电,通信设备,江苏,16.53,18.6,19.04,3875070.0,2578670.0,599596.13,319589.38,1.68,0.24,6.77,2.34,20030822,749581.0,3.94,7.45,-5.18,18.57,6.72,170957.0
002465,海格通信,通信设备,广东,182.92,20.88,23.07,1138520.0,745247.88,117494.82,385192.78,1.67,0.013000000000000001,3.67,2.69,20100831,195457.31,0.85,-1.0,16.45,30.34,4.12,119279.0
603042,华脉科技,通信设备,江苏,0.0,1.01,1.36,219227.34,134740.27,29883.28,50820.3,3.74,-0.065,5.7,2.29,20170602,11189.08,0.82,-34.08,-206.47,23.56,-4.21,15904.0
002413,雷科防务,通信设备,江苏,111.0,10.06,10.81,412438.44,181604.25,17319.26,189957.41,1.76,0.013999999999999999,3.35,1.88,20100528,62036.82,0.57,35.6,-44.73,46.11,8.85,62013.0
600522,中天科技,通信设备,江苏,13.41,30.66,30.66,3581144.75,2360332.0,793967.44,761578.88,2.48,0.168,6.59,1.37,20021024,785034.69,2.56,63.4,14.99,10.96,4.76,167368.0
002792,通宇通讯,通信设备,广东,0.0,1.14,2.25,295082.91,236711.0,41422.32,74436.0,3.3,-0.081,8.55,3.33,20160328,84895.65,3.77,37.81,-81.83,25.96,-4.66,28058.0
600498,烽火通信,通信设备,湖北,47.15,11.07,11.69,3077314.0,2471668.25,264276.44,546169.69,4.67,0.14300000000000002,8.71,3.09,20010823,382394.53,3.27,14.9,19.71,24.68,3.42,82168.0
002281,光迅科技,通信设备,湖北,70.37,6.29,6.77,604040.44,456905.56,103555.9,132984.86,1.96,0.1,5.34,4.98,20090821,150968.63,2.23,0.99,-17.8,17.81,5.24,52407.0
000889,中嘉博创,通信设备,河北,33.86,6.22,6.69,529317.88,207162.8,7635.53,176904.3,2.64,0.078,5.44,1.95,19971218,111243.61,1.66,39.92,-19.91,15.7,6.33,18000.0
300762,上海瀚讯,通信设备,上海,0.0,0.33,1.33,146087.27,142634.81,779.59,73321.38,5.5,-0.036000000000000004,8.24,7.0,20190314,20670.92,1.55,0.0,0.0,51.57,-11.17,63411.0
300597,吉大通信,通信设备,吉林,300.56,1.36,2.4,104622.2,93467.71,3721.96,21331.72,0.89,0.012,3.2,4.58,20170123,28294.01,1.18,9.39,3.92,21.08,3.95,32407.0
600764,中国海防,通信设备,北京,239.49,3.29,3.95,145919.75,107161.82,29903.5,41715.71,1.06,0.027999999999999997,2.72,9.89,19961104,23819.06,0.6,14.14,278.4,48.89,19.22,13441.0
600345,长江通信,通信设备,湖北,35.47,1.98,1.98,206083.3,39980.55,3964.53,62163.55,3.14,0.2,9.8,2.9,20001222,71882.88,3.63,15.5,-37.26,7.55,100.8,30900.0
002151,北斗星通,通信设备,北京,0.0,2.96,4.91,613846.38,308674.16,63492.17,319646.34,6.52,-0.034,8.21,3.15,20070813,34627.68,0.71,-5.29,-513.74,28.72,-2.82,76093.0
600776,东方通信,通信设备,浙江,554.95,9.56,12.56,374461.13,290567.84,19824.3,89667.4,0.71,0.011000000000000001,2.46,10.22,19961126,80943.85,0.64,-5.3,-31.14,14.04,3.0,211774.0
