,name,mbrg,nprg,nav,targ,epsg,seg
1356,楚江新材,18.6805,13.3874,31.134,39.9876,14.5401,30.2215
1357,金发科技,9.4187,13.3176,3.0493,8.2426,13.882,3.1083
1358,贤丰控股,-13.707,13.2784,-1.8929,14.2684,-23.4568,2.5471
1359,劲拓股份,23.68,13.2244,21.7746,29.6126,13.5345,21.701999999999998
1360,汇纳科技,22.6658,13.2178,11.7065,11.5308,5.6359,11.4881
1361,宝利国际,13.8941,13.1983,2.7421,-3.5409,9.7561,2.8289
1362,迪生力,1.8944,13.1093,0.2744,-9.3629,-20.0,0.8662
1363,瑞普生物,13.609000000000002,13.0571,3.5911,2.5385,13.4207,2.9871
1364,宁波水表,26.4238,13.013,21.9332,19.7082,12.5,22.0781
1365,现代投资,11.9716,12.9779,9.3339,7.4315,10.5263,8.9977
1366,青岛啤酒,1.1348,12.9322,5.1503,10.01,12.6203,4.8132
1367,洛凯股份,15.2208,12.9298,7.2167,8.9759,-9.5238,7.2152
1368,华微电子,4.5491,12.9196,6.0908,7.5001,7.6923,6.0043
1369,富森美,12.9242,12.8936,6.147,8.7479,12.8378,6.147
1370,凯莱英,28.9413,12.8877,16.4978,20.7848,24.5033,22.0132
1371,哈三联,89.1068,12.8737,7.3477,15.1029,-38.6792,6.1317
1372,苏美达,10.6271,12.83,19.9798,3.3924,29.6296,10.7961
1373,东易日盛,16.3571,12.8075,-9.7711,-6.8947,12.7907,-9.6082
1374,中国中冶,18.6618,12.7946,5.4962,5.8738,0.0,1.7497
1375,德艺文创,18.4478,12.7766,7.4149,16.1985,-26.1415,7.4149
1376,玲珑轮胎,9.9404,12.7597,15.0368,33.052,12.6437,15.0289
1377,新泉股份,10.0134,12.743,20.2635,25.3213,-16.9697,20.2635
1378,洛阳玻璃,282.1711,12.7293,140.6094,228.0224,-28.2051,122.7024
1379,金螳螂,19.49,12.7118,15.7904,18.163,9.589,15.1972
